annee;prix_kwh
1973;0.24
1974;0.28
1975;0.31
1976;0.42
1977;0.51
1978;0.57
1979;0.68
1980;0.71
1981;0.77
1982;0.81
1983;0.84
1984;0.99
1985;0.92
1986;0.91
1987;0.102
1988;0.101
1989;0.103
1990;0.1043
1991;0.112
1992;0.114
1993;0.116
1994;0.1165
1995;0.1173
1996;0.118
1997;0.119
1998;0.112
1999;0.105
2000;0.102
2001;0.103
2002;0.1034
2003;0.104
2004;0.1045
2005;0.1051
2006;0.107
2007;0.108
2008;0.109
2009;0.114
2010;0.1175
2011;0.119
2012;0.124
2013;0.134
2014;0.139
2015;0.149
2016;0.153
2017;0.147
2018;0.1445
2019;0.1467
2020;0.145
2021;0.146
2022;0.1464
